Time,GPU Util (%),Memory Used (MB),Temp (C)
17:19:41.513,0,1063,33
17:19:42.516,5,1063,33
17:19:43.523,3,1068,33
17:19:44.525,79,1070,37
17:19:45.526,100,1076,38
17:19:46.527,98,1076,39
17:19:47.529,99,1080,39
17:19:48.530,100,1080,39
17:19:49.531,99,1085,40
17:19:50.532,98,1085,40
17:19:51.534,100,1085,40
17:19:52.535,99,1085,40
17:19:53.536,100,1086,40
17:19:54.537,99,1086,41
17:19:55.539,99,1091,41
17:19:56.540,100,1094,41
17:19:57.541,99,1094,41
17:19:58.543,99,1098,41
17:19:59.544,100,1098,42
17:20:00.545,30,1095,39
17:20:01.546,0,1095,38
17:20:02.550,10,1096,36
