Time,GPU Util (%),Memory Used (MB),Temp (C)
16:59:20.167,1,867,33
16:59:21.168,1,867,32
16:59:22.179,4,896,32
16:59:23.186,58,908,37
16:59:24.198,100,920,37
16:59:25.206,100,919,38
16:59:26.207,100,925,38
16:59:27.208,100,920,38
16:59:28.215,100,928,39
16:59:29.219,100,937,39
16:59:30.223,99,937,39
16:59:31.223,99,946,39
16:59:32.234,100,946,39
16:59:33.239,100,954,40
16:59:34.252,100,961,40
16:59:35.260,100,961,40
16:59:36.276,99,960,40
16:59:37.286,100,960,40
16:59:38.297,100,951,40
16:59:39.298,100,948,38
16:59:40.311,16,952,38
16:59:41.312,0,952,36
