Time,GPU Util (%),Memory Used (MB),Temp (C)
17:18:38.098,5,365,37
17:18:39.099,2,366,37
17:18:40.099,1,367,37
17:18:41.099,88,364,41
17:18:42.100,100,364,42
17:18:43.100,100,365,42
17:18:44.101,100,365,43
17:18:45.101,100,365,43
17:18:46.102,100,365,44
17:18:47.102,100,365,44
17:18:48.102,100,365,45
17:18:49.103,100,365,45
17:18:50.103,94,366,45
17:18:51.104,100,366,46
17:18:52.104,100,366,46
17:18:53.104,100,367,46
17:18:54.105,100,367,46
17:18:55.105,100,373,46
17:18:56.105,100,373,47
17:18:57.106,100,372,47
17:18:58.106,100,372,47
17:18:59.107,86,376,47
17:19:00.107,100,376,47
17:19:01.107,100,376,47
17:19:02.108,100,376,47
17:19:03.108,100,376,48
17:19:04.108,0,376,44
17:19:05.109,0,374,44
17:19:06.109,0,373,44
17:19:07.110,0,368,43
17:19:08.110,0,372,43
17:19:09.111,0,371,42
17:19:10.112,0,371,42
