Time,GPU Util (%),Memory Used (MB),Temp (C)
17:21:30.628,0,348,38
17:21:30.729,2,348,38
17:21:30.829,2,351,38
17:21:30.929,1,349,38
17:21:31.030,1,348,38
17:21:31.130,0,348,38
17:21:31.231,1,348,38
17:21:31.331,1,348,38
17:21:31.432,1,350,38
17:21:31.532,1,350,38
17:21:31.633,1,350,38
17:21:31.733,0,350,38
17:21:31.834,0,350,38
17:21:31.934,0,353,38
17:21:32.035,0,353,38
17:21:32.135,6,352,38
17:21:32.236,3,384,38
17:21:32.336,3,384,38
17:21:32.437,44,384,39
17:21:32.537,44,384,40
17:21:32.637,100,386,39
17:21:32.738,94,386,40
17:21:32.838,94,386,40
17:21:32.938,100,386,40
17:21:33.039,100,386,40
17:21:33.139,91,386,40
17:21:33.239,94,382,41
17:21:33.340,94,382,41
17:21:33.440,100,382,41
17:21:33.540,100,382,41
17:21:33.641,82,382,42
17:21:33.741,100,382,42
17:21:33.841,100,382,42
17:21:33.942,94,382,41
17:21:34.042,94,382,41
17:21:34.142,100,382,41
17:21:34.243,100,382,41
17:21:34.343,100,382,42
17:21:34.443,96,382,42
17:21:34.544,96,382,41
17:21:34.644,98,382,41
17:21:34.744,93,382,41
17:21:34.845,93,382,41
17:21:34.945,90,382,41
17:21:35.045,90,382,41
17:21:35.146,100,382,41
17:21:35.246,90,382,41
17:21:35.346,90,382,41
17:21:35.447,100,382,41
17:21:35.547,100,382,41
17:21:35.648,73,382,41
17:21:35.748,100,382,41
17:21:35.848,100,382,41
17:21:35.949,65,382,41
17:21:36.049,65,382,41
17:21:36.149,100,382,41
17:21:36.250,96,382,42
17:21:36.350,96,382,42
17:21:36.450,100,382,42
17:21:36.551,100,382,42
17:21:36.651,93,382,42
17:21:36.751,100,382,42
17:21:36.852,100,382,42
17:21:36.952,98,382,41
17:21:37.052,98,382,41
17:21:37.153,100,382,41
17:21:37.253,100,382,41
17:21:37.353,100,382,41
17:21:37.454,98,382,41
17:21:37.554,98,382,41
17:21:37.654,100,382,41
17:21:37.755,91,382,41
17:21:37.855,91,382,41
17:21:37.955,100,382,42
17:21:38.056,100,382,42
17:21:38.156,95,382,42
17:21:38.256,92,382,42
17:21:38.357,92,382,42
17:21:38.457,100,382,43
17:21:38.557,100,382,43
17:21:38.658,97,382,43
17:21:38.758,100,382,43
17:21:38.858,100,382,42
17:21:38.959,96,382,42
17:21:39.059,96,382,42
17:21:39.159,100,382,42
17:21:39.260,95,382,42
17:21:39.360,95,382,42
17:21:39.460,100,382,42
17:21:39.561,100,382,42
17:21:39.661,93,382,42
17:21:39.761,100,382,42
17:21:39.862,100,382,41
17:21:39.962,96,382,42
17:21:40.062,96,382,42
17:21:40.163,100,382,42
17:21:40.263,94,382,42
17:21:40.363,94,382,42
17:21:40.464,100,378,42
17:21:40.564,100,378,43
17:21:40.664,96,378,43
17:21:40.765,93,374,42
17:21:40.865,93,374,42
17:21:40.965,87,374,43
17:21:41.066,87,374,42
17:21:41.166,100,374,43
17:21:41.266,89,374,42
17:21:41.367,89,374,43
17:21:41.467,100,374,42
17:21:41.567,100,374,42
17:21:41.668,98,374,42
17:21:41.768,100,374,42
17:21:41.868,100,374,42
17:21:41.969,97,374,42
17:21:42.069,97,374,42
17:21:42.169,100,374,42
17:21:42.270,100,374,42
17:21:42.370,100,374,43
17:21:42.470,93,374,43
17:21:42.571,93,374,43
17:21:42.671,100,374,42
17:21:42.771,94,374,43
17:21:42.872,94,374,43
17:21:42.972,100,374,44
17:21:43.072,100,374,43
17:21:43.173,90,374,43
17:21:43.273,100,374,43
17:21:43.373,100,374,43
17:21:43.474,89,374,43
17:21:43.574,89,374,43
17:21:43.674,100,374,42
17:21:43.775,91,374,43
17:21:43.875,91,374,43
17:21:43.975,100,374,43
17:21:44.076,100,374,43
17:21:44.176,95,374,43
17:21:44.276,100,374,42
17:21:44.377,100,374,42
17:21:44.477,97,374,42
17:21:44.577,97,374,42
17:21:44.678,100,374,42
17:21:44.778,89,374,43
17:21:44.878,89,374,43
17:21:44.979,100,374,43
17:21:45.079,100,374,43
17:21:45.179,97,374,43
17:21:45.280,100,374,43
17:21:45.380,100,374,43
17:21:45.480,94,374,43
17:21:45.580,94,374,43
17:21:45.681,100,374,43
17:21:45.781,92,374,43
17:21:45.881,92,374,43
17:21:45.982,100,374,43
17:21:46.082,100,374,43
17:21:46.182,91,374,43
17:21:46.283,99,374,43
17:21:46.383,99,374,43
17:21:46.483,99,374,43
17:21:46.584,99,374,43
17:21:46.684,100,374,42
17:21:46.784,94,374,43
17:21:46.885,94,374,43
17:21:46.985,100,374,43
17:21:47.086,94,374,43
17:21:47.186,94,374,43
17:21:47.286,100,374,43
17:21:47.387,100,374,43
17:21:47.487,93,374,43
17:21:47.587,91,374,44
17:21:47.687,91,374,44
17:21:47.788,100,374,44
17:21:47.888,100,371,43
17:21:47.988,91,371,44
17:21:48.089,100,371,44
17:21:48.189,100,371,44
17:21:48.289,100,371,43
17:21:48.390,100,371,43
17:21:48.490,92,371,43
17:21:48.590,100,371,43
17:21:48.691,100,371,44
17:21:48.791,97,371,43
17:21:48.891,97,371,44
17:21:48.992,100,371,43
17:21:49.092,94,371,43
17:21:49.192,94,371,43
17:21:49.293,100,371,43
17:21:49.393,100,371,43
17:21:49.493,98,371,43
17:21:49.594,99,371,43
17:21:49.694,99,371,44
17:21:49.794,100,371,44
17:21:49.894,100,371,44
17:21:49.995,100,371,44
17:21:50.095,100,371,44
17:21:50.196,100,371,44
17:21:50.296,92,371,44
17:21:50.396,92,371,44
17:21:50.497,100,371,44
17:21:50.597,100,371,44
17:21:50.697,100,371,44
17:21:50.798,97,371,44
17:21:50.898,97,371,44
17:21:50.998,100,371,44
17:21:51.099,97,371,43
17:21:51.199,97,371,44
17:21:51.299,100,371,44
17:21:51.400,100,371,43
17:21:51.500,94,371,43
17:21:51.601,96,371,43
17:21:51.701,96,371,43
17:21:51.801,95,371,43
17:21:51.902,95,371,43
17:21:52.002,100,371,43
17:21:52.103,94,371,43
17:21:52.203,94,371,44
17:21:52.303,97,371,44
17:21:52.404,97,371,43
17:21:52.504,100,371,44
17:21:52.604,89,371,44
17:21:52.705,89,371,44
17:21:52.805,100,371,44
17:21:52.905,100,371,44
17:21:53.006,92,371,44
17:21:53.106,100,371,44
17:21:53.206,100,371,44
17:21:53.307,92,371,44
17:21:53.407,92,371,44
17:21:53.507,100,371,44
17:21:53.607,97,371,43
17:21:53.708,97,371,44
17:21:53.808,100,371,44
17:21:53.908,100,371,44
17:21:54.009,100,371,43
