Time,GPU Util (%),Memory Used (MB),Temp (C)
20:17:04.935,0,597,31
20:17:05.939,1,596,31
20:17:06.942,100,657,32
20:17:07.946,100,657,32
20:17:08.949,100,656,36
20:17:09.953,100,640,36
20:17:10.956,100,636,37
20:17:11.960,100,632,37
20:17:12.964,100,615,37
20:17:13.968,100,603,38
20:17:14.971,100,602,38
20:17:15.975,100,599,38
20:17:16.979,100,599,38
20:17:17.983,100,599,38
20:17:18.987,100,599,39
20:17:19.990,100,597,39
20:17:20.994,100,597,38
20:17:21.998,100,597,39
20:17:22.001,100,597,39
20:17:24.005,100,597,40
20:17:25.009,100,597,39
20:17:26.012,100,597,40
20:17:27.016,100,597,40
20:17:28.020,100,604,41
20:17:29.023,100,604,40
20:17:30.027,100,604,41
20:17:31.031,100,604,40
20:17:32.034,100,660,42
20:17:33.038,100,660,41
20:17:34.041,100,660,42
20:17:35.045,100,660,43
20:17:36.049,100,659,41
20:17:37.053,100,659,42
20:17:38.058,99,659,42
20:17:39.061,100,659,43
20:17:40.065,100,659,42
20:17:41.069,100,651,42
20:17:42.072,100,638,42
20:17:43.077,100,626,42
20:17:44.081,100,626,42
20:17:45.084,100,627,43
20:17:46.088,100,627,43
20:17:47.091,100,627,43
20:17:48.095,100,628,43
20:17:49.099,100,686,43
20:17:50.102,100,686,43
20:17:51.106,100,686,44
20:17:52.110,100,686,43
20:17:53.114,100,686,44
20:17:54.118,100,686,44
20:17:55.121,100,682,44
20:17:56.125,100,682,44
20:17:57.129,100,682,44
20:17:58.132,100,682,44
20:17:59.136,100,682,44
20:18:00.140,100,682,44
20:18:01.143,100,682,45
20:18:02.147,100,679,45
20:18:03.150,100,679,44
20:18:04.155,100,679,44
20:18:05.158,100,680,46
20:18:06.162,100,680,45
20:18:07.165,100,680,44
20:18:08.169,100,680,46
20:18:09.172,100,680,45
20:18:10.176,100,680,45
20:18:11.179,100,680,45
20:18:12.183,100,680,46
20:18:13.187,100,737,46
20:18:14.191,100,737,46
20:18:15.195,100,737,46
20:18:16.198,100,660,46
20:18:17.202,100,661,46
20:18:18.206,100,661,46
20:18:19.210,100,653,46
20:18:20.213,100,653,46
20:18:21.217,100,644,47
20:18:22.221,100,632,47
20:18:23.225,100,616,45
20:18:24.228,100,616,47
20:18:25.232,100,616,46
20:18:26.235,100,616,46
20:18:27.239,100,617,46
20:18:28.243,100,617,47
20:18:29.247,100,617,47
20:18:30.251,100,617,48
20:18:31.254,100,617,47
20:18:32.258,100,617,47
20:18:33.262,100,617,47
20:18:34.265,100,617,47
20:18:35.269,100,618,47
20:18:36.273,100,676,48
20:18:37.277,100,676,47
20:18:38.280,100,677,47
20:18:39.284,100,677,48
20:18:40.287,100,677,47
20:18:41.291,100,677,49
20:18:42.295,100,677,48
20:18:43.299,100,677,47
20:18:44.302,100,677,48
20:18:45.306,100,677,48
20:18:46.310,100,677,48
20:18:47.314,100,677,49
20:18:48.317,100,677,48
20:18:49.321,100,677,47
20:18:50.325,100,677,48
20:18:51.328,100,677,48
20:18:52.332,100,677,48
20:18:53.335,100,677,48
20:18:54.339,100,677,48
20:18:55.343,100,677,48
20:18:56.346,100,677,49
20:18:57.350,100,677,49
20:18:58.354,100,734,49
20:18:59.357,100,734,48
20:19:00.361,100,734,49
20:19:01.365,100,734,49
20:19:02.369,100,722,48
20:19:03.373,100,710,49
20:19:04.377,100,685,49
20:19:05.381,100,657,49
20:19:06.385,100,657,48
20:19:07.389,100,653,49
20:19:08.392,100,628,49
20:19:09.396,100,620,49
20:19:10.400,100,620,49
20:19:11.403,100,620,49
20:19:12.407,100,620,49
20:19:13.410,100,620,50
20:19:14.414,100,620,49
20:19:15.418,100,676,49
20:19:16.422,100,676,49
20:19:17.426,100,676,49
20:19:18.429,100,676,49
20:19:19.433,100,676,50
20:19:20.437,100,676,49
20:19:21.440,100,676,49
20:19:22.443,100,676,50
20:19:23.447,100,676,50
20:19:24.450,100,676,50
20:19:25.454,100,676,50
20:19:26.458,100,676,50
20:19:27.461,100,676,49
20:19:28.467,100,676,50
20:19:29.470,99,676,51
20:19:30.474,100,674,50
20:19:31.478,100,674,51
20:19:32.481,100,674,51
20:19:33.484,100,674,52
20:19:34.488,100,674,51
20:19:35.492,100,674,50
20:19:36.503,100,674,51
20:19:37.507,100,680,51
20:19:38.510,100,680,52
20:19:39.513,100,680,51
20:19:40.517,100,737,51
20:19:41.521,100,737,51
20:19:42.524,100,737,51
20:19:43.528,100,737,51
20:19:44.532,100,721,51
20:19:45.535,100,705,52
20:19:46.539,100,688,51
20:19:47.542,100,688,51
20:19:48.546,100,676,51
20:19:49.550,100,668,52
20:19:50.554,100,668,51
20:19:51.558,100,668,51
20:19:52.561,100,670,52
20:19:53.565,100,670,52
20:19:54.569,100,670,52
20:19:55.572,100,666,51
20:19:56.576,100,686,51
20:19:57.579,100,686,51
20:19:58.583,100,686,52
20:19:59.587,100,686,51
20:20:00.590,100,686,51
20:20:01.594,100,686,51
20:20:02.598,100,686,52
20:20:03.602,100,686,51
20:20:04.605,100,686,52
20:20:05.609,100,686,51
20:20:06.613,100,686,50
20:20:07.616,100,686,51
20:20:08.620,100,686,51
20:20:09.623,100,686,50
20:20:10.627,100,686,52
20:20:11.631,100,686,51
20:20:12.634,100,686,53
20:20:13.638,100,686,52
20:20:14.642,100,686,51
20:20:15.645,100,686,52
20:20:16.649,100,686,51
20:20:17.653,100,686,52
20:20:18.656,100,686,51
20:20:19.660,100,675,52
20:20:20.664,100,733,52
20:20:21.667,100,709,51
20:20:22.672,100,688,52
20:20:23.675,100,664,52
20:20:24.679,100,664,51
20:20:25.683,100,658,52
20:20:26.687,100,658,51
20:20:27.691,100,658,52
20:20:28.695,100,658,53
20:20:29.698,100,658,52
20:20:30.702,100,658,51
20:20:31.705,100,658,52
20:20:32.709,100,658,52
20:20:33.713,100,658,51
20:20:34.716,100,658,53
20:20:35.720,100,658,52
20:20:36.724,100,658,52
20:20:37.727,100,658,52
20:20:38.731,100,658,53
20:20:39.736,100,650,53
20:20:40.739,100,650,52
20:20:41.743,100,613,52
20:20:42.747,100,613,52
20:20:43.750,100,613,52
20:20:44.754,100,613,53
20:20:45.757,100,613,52
20:20:46.761,100,613,51
20:20:47.765,100,613,53
20:20:48.769,100,613,53
20:20:49.773,100,613,52
20:20:50.776,100,613,53
20:20:51.780,100,613,52
20:20:52.783,100,613,52
20:20:53.787,100,613,52
20:20:54.790,100,613,52
20:20:55.794,100,613,53
20:20:56.798,100,613,52
20:20:57.801,100,613,52
20:20:58.805,100,613,53
20:20:59.809,100,613,53
20:21:00.813,0,609,51
20:21:01.816,0,609,49
20:21:02.820,0,609,48
20:21:03.824,0,609,48
20:21:04.828,0,609,47
20:21:05.832,0,609,47
20:21:06.836,0,609,47
20:21:07.839,0,609,46
20:21:08.843,0,609,46
20:21:09.848,1,609,46
20:21:10.852,1,609,45
20:21:11.856,0,609,45
20:21:12.860,0,609,45
20:21:13.864,0,609,45
20:21:14.868,0,609,45
20:21:15.872,0,614,44
20:21:16.877,5,623,44
20:21:17.882,1,623,44
