Time,GPU Util (%),Memory Used (MB),Temp (C)
18:13:46.655,7,1138,39
18:13:47.655,15,1130,39
18:13:48.655,3,1130,39
18:13:49.656,100,1165,50
18:13:50.656,100,1165,54
18:13:51.656,100,1168,51
18:13:52.656,100,1204,55
18:13:53.656,100,1204,56
18:13:54.657,100,1204,53
18:13:55.657,100,1240,56
18:13:56.657,100,1240,57
18:13:57.657,100,1240,55
18:13:58.657,100,1277,58
18:13:59.657,100,1277,58
18:14:00.658,100,1277,54
18:14:01.658,100,1313,59
18:14:02.658,100,1313,59
18:14:03.658,100,1313,54
18:14:04.658,99,1349,59
18:14:05.659,100,1349,59
18:14:06.659,100,1349,56
18:14:07.659,85,1386,58
18:14:08.659,100,1386,59
18:14:09.659,100,1386,56
18:14:10.659,90,1424,59
18:14:11.660,100,1424,59
18:14:12.660,100,1424,54
18:14:13.660,90,1460,58
18:14:14.660,100,1460,58
18:14:15.660,100,1460,55
18:14:16.661,88,1496,58
18:14:17.661,100,1496,58
18:14:18.661,100,1496,55
18:14:19.661,33,1496,47
18:14:20.662,0,1496,45
18:14:21.662,0,1494,43
18:14:22.663,0,1494,42
18:14:23.663,0,1494,42
