Time,GPU Util (%),Memory Used (MB),Temp (C)
17:53:58.765,0,494,40
17:53:58.866,15,494,40
17:53:58.967,15,494,40
17:53:59.067,2,494,40
17:53:59.168,2,494,40
17:53:59.268,0,494,40
17:53:59.369,1,494,40
17:53:59.470,1,494,40
17:53:59.570,0,494,40
17:53:59.671,0,446,40
17:53:59.771,15,446,40
17:53:59.872,2,446,40
17:53:59.973,2,446,40
17:54:00.073,9,446,40
17:54:00.174,0,446,40
17:54:00.274,0,446,40
17:54:00.375,18,447,40
17:54:00.475,18,458,40
17:54:00.576,83,462,41
17:54:00.676,8,462,41
17:54:00.776,8,464,41
17:54:00.877,3,464,41
17:54:00.977,3,464,41
17:54:01.078,25,464,41
17:54:01.178,31,464,41
17:54:01.279,31,464,41
17:54:01.379,54,464,42
17:54:01.479,54,464,42
17:54:01.581,47,464,43
17:54:01.681,61,465,42
17:54:01.782,61,465,43
17:54:01.882,62,465,43
17:54:01.982,62,465,43
17:54:02.083,59,465,43
17:54:02.183,51,465,43
17:54:02.285,51,465,43
17:54:02.385,73,465,43
17:54:02.486,73,465,43
17:54:02.586,57,465,44
17:54:02.686,71,465,43
17:54:02.788,71,465,43
17:54:02.888,72,465,43
17:54:02.989,72,465,44
17:54:03.089,69,465,44
17:54:03.189,83,465,44
17:54:03.290,83,465,44
17:54:03.390,100,465,44
17:54:03.491,100,465,44
17:54:03.591,100,465,45
17:54:03.692,100,465,45
17:54:03.792,100,465,44
17:54:03.892,100,465,44
17:54:03.993,100,465,45
17:54:04.093,100,465,45
17:54:04.193,100,465,44
17:54:04.294,100,465,45
17:54:04.394,75,470,44
17:54:04.494,75,470,44
17:54:04.595,36,470,43
17:54:04.695,18,470,43
17:54:04.796,18,470,43
17:54:04.896,56,470,43
17:54:04.996,56,470,44
17:54:05.097,44,470,44
17:54:05.197,57,470,43
17:54:05.298,57,470,44
17:54:05.398,54,470,44
17:54:05.498,54,470,44
17:54:05.599,61,470,44
17:54:05.699,66,470,44
17:54:05.800,66,470,45
17:54:05.900,89,470,45
17:54:05.000,89,470,45
17:54:06.101,100,470,45
17:54:06.201,100,470,45
17:54:06.301,100,470,45
17:54:06.402,100,470,45
17:54:06.502,100,470,45
17:54:06.602,100,470,45
17:54:06.703,100,470,45
17:54:06.803,100,470,45
17:54:06.904,100,470,45
17:54:07.004,100,470,45
17:54:07.104,100,470,45
17:54:07.205,100,470,45
17:54:07.305,100,470,45
17:54:07.406,83,474,44
17:54:07.506,83,474,45
17:54:07.607,33,474,44
17:54:07.707,20,474,44
17:54:07.807,20,474,44
17:54:07.908,58,474,44
17:54:08.008,58,474,44
17:54:08.108,39,474,45
17:54:08.209,61,474,44
17:54:08.311,61,474,44
17:54:08.411,61,474,44
17:54:08.512,61,474,45
17:54:08.612,100,474,45
17:54:08.712,100,474,45
17:54:08.813,100,474,45
17:54:08.913,100,474,45
17:54:09.014,100,474,45
17:54:09.114,100,474,45
17:54:09.214,100,474,45
17:54:09.315,100,474,45
17:54:09.415,100,474,45
17:54:09.515,100,474,45
17:54:09.616,100,474,45
17:54:09.716,100,474,45
17:54:09.817,100,474,45
17:54:09.918,100,474,45
