Time,GPU Util (%),Memory Used (MB),Temp (C)
14:59:13.036,0,453,38
14:59:16.757,100,461,39
14:59:20.477,100,461,40
14:59:24.198,89,459,40
14:59:27.918,100,459,41
14:59:31.639,100,458,41
14:59:35.359,100,458,41
14:59:39.079,100,458,42
14:59:42.800,100,458,42
14:59:46.520,100,458,43
14:59:50.240,100,458,43
14:59:53.961,98,458,43
14:59:57.681,100,458,44
15:00:01.402,94,458,44
15:00:05.122,100,458,44
15:00:08.842,100,458,45
15:00:12.563,100,458,45
15:00:16.283,47,458,45
15:00:20.004,100,458,45
15:00:23.724,62,458,44
15:00:27.444,14,458,45
15:00:31.165,54,458,45
15:00:34.885,95,458,45
15:00:38.606,34,458,45
15:00:42.326,40,458,45
15:00:46.047,83,458,45
15:00:49.767,19,458,46
15:00:53.487,27,457,45
15:00:57.208,69,457,47
15:01:00.928,100,489,47
15:01:04.649,100,489,46
15:01:08.369,42,489,47
15:01:12.090,84,488,47
15:01:15.810,100,488,46
15:01:19.531,54,488,47
15:01:23.251,97,488,48
15:01:26.972,90,488,48
15:01:30.692,100,488,48
15:01:34.412,93,488,49
15:01:38.133,100,488,48
15:01:41.853,100,488,48
15:01:45.573,95,488,48
15:01:49.294,97,488,49
15:01:53.014,100,488,48
15:01:56.734,92,488,49
15:02:00.455,81,488,48
15:02:04.175,100,488,48
15:02:07.896,100,488,48
15:02:11.616,68,488,48
15:02:15.336,100,488,49
15:02:19.057,100,488,48
15:02:22.777,54,488,48
15:02:26.498,96,488,49
15:02:30.218,100,488,49
15:02:33.939,68,488,48
15:02:37.659,81,488,49
15:02:41.379,0,489,48
15:02:45.100,100,519,48
15:02:48.820,49,513,50
15:02:52.541,92,513,50
15:02:56.261,100,510,49
15:02:59.982,100,510,51
15:03:03.702,95,510,50
15:03:07.422,98,506,50
15:03:11.143,100,506,50
15:03:14.863,91,502,51
15:03:18.583,93,502,51
15:03:22.304,100,502,51
15:03:26.024,94,502,51
15:03:29.744,92,498,51
15:03:33.465,100,498,51
15:03:37.185,100,494,50
15:03:40.906,61,460,50
15:03:44.626,100,460,51
15:03:48.346,87,460,50
15:03:52.067,62,460,51
15:03:55.787,23,460,51
15:03:59.508,88,460,50
15:04:03.228,62,460,50
15:04:06.949,20,460,51
15:04:10.669,100,460,50
15:04:14.389,50,460,50
15:04:18.110,31,460,50
15:04:21.830,32,460,50
15:04:25.551,100,488,50
15:04:29.271,97,488,50
15:04:32.992,74,488,51
15:04:36.712,74,488,51
15:04:40.432,83,488,51
15:04:44.153,100,492,52
15:04:47.873,66,492,52
15:04:51.594,100,488,52
15:04:55.314,100,488,51
15:04:59.034,91,488,52
15:05:02.755,100,488,52
15:05:06.475,96,488,52
15:05:10.195,100,488,53
15:05:13.916,100,488,51
15:05:17.636,93,488,53
15:05:21.356,100,488,52
15:05:25.077,44,488,52
15:05:28.797,86,488,52
15:05:32.518,27,488,51
15:05:36.238,30,488,52
15:05:39.958,73,488,51
15:05:43.679,100,488,52
15:05:47.399,36,488,52
15:05:51.120,60,488,51
15:05:54.840,100,488,52
15:05:58.561,100,488,51
15:06:02.281,47,488,51
15:06:06.002,89,488,52
15:06:09.722,100,518,52
15:06:13.442,81,518,51
15:06:17.163,62,514,52
15:06:20.883,100,514,52
15:06:24.604,100,514,51
15:06:28.324,57,510,52
15:06:32.044,96,510,53
15:06:35.765,95,506,52
15:06:39.485,100,506,53
15:06:43.205,100,506,52
15:06:46.926,98,502,53
15:06:50.646,100,502,52
15:06:54.366,100,498,52
15:06:58.087,92,498,53
15:07:01.807,100,498,52
15:07:05.528,100,494,54
15:07:09.248,100,494,52
15:07:12.968,100,490,52
15:07:16.689,91,490,52
15:07:20.409,49,490,52
15:07:24.130,100,486,52
15:07:27.850,81,486,52
15:07:31.570,50,482,52
15:07:35.291,100,482,53
15:07:39.011,79,478,52
15:07:42.732,45,478,52
15:07:46.452,6,478,52
15:07:50.173,0,475,51
15:07:53.893,100,492,52
15:07:57.613,50,492,53
15:08:01.334,59,492,52
15:08:05.054,100,492,52
15:08:08.775,100,492,53
15:08:12.495,100,492,54
15:08:16.215,100,492,53
15:08:19.936,100,492,53
15:08:23.656,97,492,54
15:08:27.376,100,492,53
15:08:31.097,98,492,53
15:08:34.817,92,492,53
15:08:38.538,95,492,54
15:08:42.258,92,492,53
15:08:45.978,99,492,54
15:08:49.699,77,492,53
15:08:53.419,58,492,53
15:08:57.140,74,492,53
15:09:00.860,40,491,53
15:09:04.580,45,491,53
15:09:08.301,87,491,53
15:09:12.021,32,491,52
15:09:15.742,32,491,53
15:09:19.462,74,491,52
15:09:23.183,100,491,52
15:09:26.903,25,491,53
15:09:30.624,61,491,52
15:09:34.344,85,521,52
15:09:38.064,81,520,52
15:09:41.785,67,519,53
15:09:45.505,75,515,53
15:09:49.226,100,515,53
15:09:52.946,100,511,54
15:09:56.666,72,511,53
15:10:00.387,100,507,53
15:10:04.107,100,507,53
15:10:07.828,100,507,53
15:10:11.548,100,503,53
15:10:15.268,100,503,55
15:10:18.989,100,503,54
15:10:22.709,100,499,54
15:10:26.429,100,499,54
15:10:30.150,97,499,54
15:10:33.870,71,495,54
15:10:37.591,100,495,53
15:10:41.311,100,491,53
15:10:45.031,63,491,54
15:10:48.752,99,487,53
15:10:52.472,100,487,53
15:10:56.193,98,487,54
15:10:59.913,85,483,53
15:11:03.633,100,483,53
15:11:07.354,67,479,52
15:11:11.074,31,479,52
15:11:14.795,100,475,53
15:11:18.515,100,489,54
15:11:22.235,100,489,53
15:11:25.956,41,489,53
15:11:29.676,100,489,54
15:11:33.397,100,489,53
15:11:37.117,85,489,53
15:11:40.838,100,489,54
15:11:44.558,100,489,53
15:11:48.278,90,489,54
15:11:51.999,100,489,55
15:11:55.719,100,489,54
15:11:59.439,99,489,53
15:12:03.160,100,489,54
15:12:06.880,100,489,55
15:12:10.600,100,489,54
15:12:14.321,35,489,53
15:12:18.041,30,489,53
15:12:21.762,92,489,54
15:12:25.482,68,489,53
15:12:29.202,48,489,53
15:12:32.923,56,489,53
15:12:36.643,63,489,53
15:12:40.364,29,489,53
15:12:44.084,43,489,54
15:12:47.805,85,489,53
15:12:51.525,20,489,53
15:12:55.245,30,489,54
15:12:58.966,1,489,52
15:13:02.686,68,519,53
15:13:06.407,24,519,54
15:13:10.127,57,509,53
15:13:13.848,90,509,53
15:13:17.568,100,505,54
15:13:21.288,95,505,54
15:13:25.009,95,505,54
15:13:28.729,96,501,54
15:13:32.450,100,501,54
15:13:36.170,100,497,54
15:13:39.890,94,453,54
15:13:43.611,100,453,54
15:13:47.331,100,453,54
15:13:51.051,91,453,54
15:13:54.772,92,453,54
15:13:58.492,59,453,54
15:14:02.212,87,451,54
15:14:05.933,100,451,54
15:14:09.653,34,451,53
15:14:13.374,74,451,54
15:14:17.094,100,451,54
15:14:20.815,96,451,53
15:14:24.535,61,451,53
15:14:28.256,100,451,53
15:14:31.976,87,451,53
15:14:35.696,86,451,54
15:14:39.417,89,451,53
15:14:43.137,100,480,53
15:14:46.858,100,479,53
15:14:50.578,61,479,54
15:14:54.299,98,479,55
15:14:58.019,100,479,54
