Time,GPU Util (%),Memory Used (MB),Temp (C)
19:21:03.340,0,793,40
19:21:07.061,63,874,43
19:21:10.782,100,826,44
19:21:14.505,100,821,45
19:21:18.226,100,821,46
19:21:21.947,100,821,46
19:21:25.670,56,819,45
19:21:29.393,96,819,46
19:21:33.113,100,819,47
19:21:36.836,100,819,48
19:21:40.559,100,819,47
19:21:44.280,100,815,48
19:21:48.002,100,814,48
19:21:51.725,100,814,48
19:21:55.446,100,814,48
19:21:59.167,100,814,48
19:22:02.889,100,814,49
19:22:06.610,100,814,49
19:22:10.331,100,814,49
19:22:14.054,100,814,49
19:22:17.778,85,814,49
19:22:21.498,63,814,49
19:22:25.222,60,815,49
19:22:28.945,72,815,50
19:22:32.666,72,815,50
19:22:36.388,71,815,50
19:22:40.111,72,815,51
19:22:43.833,86,815,50
19:22:47.554,64,815,50
19:22:51.277,99,877,50
19:22:54.997,100,877,50
19:22:58.718,85,877,51
19:23:02.441,100,877,51
19:23:06.165,100,876,52
19:23:09.886,100,876,51
19:23:13.608,100,876,51
19:23:17.331,100,876,51
19:23:21.052,100,876,52
19:23:24.775,100,876,52
19:23:28.498,100,876,52
19:23:32.218,100,876,52
19:23:35.939,100,876,52
19:23:39.662,100,876,52
19:23:43.383,75,876,52
19:23:47.103,92,876,52
19:23:50.826,90,876,52
19:23:54.549,100,876,52
19:23:58.270,100,876,53
19:24:01.993,82,876,52
19:24:05.716,62,876,52
19:24:09.436,79,876,52
19:24:13.159,86,876,52
19:24:16.882,75,876,52
19:24:20.602,91,876,51
19:24:24.325,74,876,51
19:24:28.048,72,876,52
19:24:31.768,21,876,52
19:24:35.489,63,918,52
19:24:39.212,54,836,52
19:24:42.933,49,836,53
19:24:46.654,100,836,52
19:24:50.377,100,836,53
19:24:54.099,100,836,53
19:24:57.820,100,835,53
19:25:01.543,100,845,52
19:25:05.266,100,845,53
19:25:08.986,100,838,53
19:25:12.709,100,838,52
19:25:16.431,100,838,53
19:25:20.152,100,838,53
19:25:23.874,100,838,53
19:25:27.598,100,838,53
19:25:31.319,100,838,53
19:25:35.040,70,838,52
