Time,GPU Util (%),Memory Used (MB),Temp (C)
19:43:50.904,1,832,36
19:43:51.005,1,832,36
19:43:51.106,3,832,36
19:43:51.206,1,832,36
19:43:51.307,1,832,36
19:43:51.410,1,832,36
19:43:51.511,1,832,36
19:43:51.611,2,836,36
19:43:51.713,3,836,36
19:43:51.813,3,836,36
19:43:51.916,0,836,37
19:43:52.017,0,834,37
19:43:52.118,3,834,37
19:43:52.219,1,834,37
19:43:52.320,1,834,37
19:43:52.423,3,828,36
19:43:52.524,31,887,36
19:43:52.624,31,884,36
19:43:52.725,100,884,36
19:43:52.826,100,884,36
19:43:52.929,100,880,38
19:43:53.029,100,880,38
19:43:53.130,100,880,38
19:43:53.231,100,880,38
19:43:53.333,100,880,38
19:43:53.436,100,880,39
19:43:53.536,100,880,39
19:43:53.637,100,880,39
19:43:53.737,52,880,39
19:43:53.838,52,880,39
19:43:53.941,100,880,40
19:43:54.042,95,880,40
19:43:54.142,95,880,40
19:43:54.243,69,880,40
19:43:54.344,69,880,40
19:43:54.447,100,880,41
19:43:54.547,100,877,41
19:43:54.648,100,877,41
19:43:54.748,100,877,41
19:43:54.849,100,877,41
19:43:54.951,100,877,40
19:43:55.052,95,877,40
19:43:55.153,95,877,40
19:43:55.253,100,877,40
19:43:55.354,100,861,40
19:43:55.457,57,861,40
19:43:55.558,100,861,40
19:43:55.658,100,861,40
19:43:55.759,45,828,40
19:43:55.860,45,828,40
19:43:55.963,100,828,40
19:43:56.063,90,828,40
19:43:56.165,90,828,40
19:43:56.265,58,828,40
19:43:56.366,58,828,40
19:43:56.469,83,828,40
19:43:56.570,18,828,40
19:43:56.671,18,828,40
19:43:56.771,100,828,40
19:43:56.871,67,828,40
19:43:56.974,67,828,40
19:43:57.075,69,828,40
19:43:57.175,69,828,40
19:43:57.276,100,828,40
19:43:57.377,84,828,40
19:43:57.480,84,828,41
19:43:57.581,100,828,41
19:43:57.681,100,828,41
19:43:57.782,100,826,41
19:43:57.882,96,826,41
19:43:57.985,96,826,41
19:43:58.086,100,826,41
19:43:58.187,100,826,41
19:43:58.287,90,826,41
19:43:58.388,100,826,41
19:43:58.491,100,826,40
19:43:58.591,100,826,40
19:43:58.692,100,826,40
19:43:58.793,100,826,40
19:43:58.894,100,826,40
19:43:58.997,100,825,41
19:43:59.098,100,825,41
19:43:59.198,100,825,41
19:43:59.299,100,825,41
19:43:59.399,16,821,41
19:43:59.502,16,821,41
19:43:59.603,95,821,41
19:43:59.703,95,821,41
19:43:59.804,52,821,41
19:43:59.905,48,821,41
19:44:00.008,48,821,41
19:44:00.108,100,821,41
19:44:00.209,100,821,41
19:44:00.309,42,821,41
19:44:00.410,100,821,41
19:44:00.512,100,821,42
19:44:00.614,100,821,42
19:44:00.715,76,821,42
19:44:00.815,76,821,42
19:44:00.916,100,821,42
19:44:01.019,100,821,41
19:44:01.119,95,821,41
19:44:01.220,100,821,41
19:44:01.320,100,821,41
19:44:01.420,100,821,41
19:44:01.523,100,821,41
19:44:01.624,99,821,41
19:44:01.724,100,821,41
19:44:01.825,100,821,41
19:44:01.925,58,821,41
19:44:02.028,58,821,41
19:44:02.129,100,821,41
19:44:02.229,69,821,41
19:44:02.330,69,821,41
19:44:02.430,83,821,41
19:44:02.533,83,821,41
19:44:02.633,95,821,41
19:44:02.734,36,821,41
19:44:02.834,36,821,41
19:44:02.935,100,821,41
19:44:03.038,100,821,41
19:44:03.139,52,821,41
19:44:03.239,89,821,41
19:44:03.340,89,821,41
19:44:03.440,100,821,41
19:44:03.543,100,821,41
19:44:03.644,79,821,41
19:44:03.745,100,821,41
19:44:03.845,100,821,41
19:44:03.946,100,821,41
19:44:04.048,100,821,42
19:44:04.149,100,821,42
19:44:04.249,100,821,42
19:44:04.350,100,821,42
19:44:04.451,100,821,42
19:44:04.553,100,821,42
19:44:04.654,100,821,42
19:44:04.754,100,821,42
19:44:04.855,100,821,42
19:44:04.955,100,821,42
19:44:05.058,100,821,42
19:44:05.159,100,821,42
19:44:05.261,100,821,42
19:44:05.361,100,821,42
19:44:05.463,100,821,42
19:44:05.566,92,821,42
19:44:05.666,92,821,42
19:44:05.767,100,821,42
19:44:05.867,100,821,42
19:44:05.968,77,821,42
19:44:06.070,75,821,42
19:44:06.171,75,821,42
19:44:06.271,100,821,42
19:44:06.372,100,821,42
19:44:06.472,38,821,42
19:44:06.575,100,821,42
19:44:06.676,100,821,42
19:44:06.776,64,821,42
19:44:06.877,64,821,42
19:44:06.977,79,821,42
19:44:07.080,100,821,42
19:44:07.180,100,821,42
19:44:07.281,67,821,42
19:44:07.381,67,821,42
19:44:07.482,100,821,42
19:44:07.585,93,821,42
19:44:07.686,93,821,42
19:44:07.787,84,821,42
19:44:07.887,84,821,42
19:44:07.987,100,821,42
19:44:08.091,100,821,43
19:44:08.191,100,821,43
19:44:08.292,100,821,43
19:44:08.392,100,821,43
19:44:08.493,99,821,43
19:44:08.596,90,821,43
19:44:08.696,90,821,43
19:44:08.797,100,821,43
19:44:08.898,100,821,43
19:44:08.998,47,821,43
19:44:09.101,100,821,42
19:44:09.202,100,821,42
19:44:09.302,37,821,42
19:44:09.403,37,821,42
19:44:09.504,95,821,42
19:44:09.606,100,821,42
19:44:09.707,100,821,42
19:44:09.807,62,821,42
19:44:09.909,100,821,42
19:44:10.009,100,821,42
19:44:10.112,100,821,42
19:44:10.212,100,821,42
19:44:10.313,100,821,42
19:44:10.413,100,821,42
19:44:10.515,100,821,42
19:44:10.618,100,821,43
19:44:10.718,100,821,43
19:44:10.819,100,821,43
19:44:10.920,100,821,43
19:44:11.020,100,821,43
19:44:11.123,100,821,43
19:44:11.223,100,821,43
