Time,GPU Util (%),Memory Used (MB),Temp (C)
17:14:28.994,0,337,39
17:14:29.095,4,337,39
17:14:29.196,4,344,39
17:14:29.296,2,344,39
17:14:29.397,2,344,39
17:14:29.497,0,344,39
17:14:29.598,0,344,39
17:14:29.699,0,344,39
17:14:29.799,0,344,39
17:14:29.900,0,344,39
17:14:30.000,0,344,39
17:14:30.101,0,344,39
17:14:30.202,0,347,39
17:14:30.302,24,352,39
17:14:30.403,5,352,39
17:14:30.503,5,352,39
17:14:30.603,90,352,39
17:14:30.704,90,354,40
17:14:30.804,80,354,41
17:14:30.905,87,354,41
17:14:31.005,87,354,42
17:14:31.106,80,354,43
17:14:31.206,80,354,42
17:14:31.306,72,354,43
17:14:31.407,86,354,43
17:14:31.507,86,354,44
17:14:31.608,100,354,43
17:14:31.708,100,354,44
17:14:31.808,100,354,44
17:14:31.909,100,354,44
17:14:32.009,100,354,45
17:14:32.109,100,354,44
17:14:32.210,100,354,45
17:14:32.310,100,354,44
17:14:32.411,100,354,45
17:14:32.511,100,354,45
17:14:32.611,100,354,45
17:14:32.712,100,354,45
17:14:32.812,100,354,45
17:14:32.913,100,354,45
17:14:33.013,100,354,45
17:14:33.113,100,356,44
17:14:33.214,100,360,45
17:14:33.314,87,360,45
17:14:33.415,100,360,44
17:14:33.515,100,360,45
17:14:33.615,100,360,45
17:14:33.716,100,360,45
17:14:33.816,100,360,45
17:14:33.916,100,360,45
17:14:34.017,100,360,45
17:14:34.117,100,360,45
17:14:34.217,100,360,45
17:14:34.318,100,360,46
17:14:34.418,100,360,45
17:14:34.518,100,360,46
17:14:34.619,100,360,46
17:14:34.719,100,360,45
17:14:34.819,100,360,45
17:14:34.919,100,360,46
17:14:35.020,100,360,45
17:14:35.120,100,360,46
17:14:35.220,100,360,46
17:14:35.321,100,360,46
17:14:35.421,92,364,44
17:14:35.521,92,364,45
17:14:35.622,100,364,46
17:14:35.723,100,364,46
17:14:35.823,100,364,46
17:14:35.923,100,364,46
17:14:36.024,100,364,46
17:14:36.124,100,364,46
17:14:36.224,100,364,46
17:14:36.325,100,364,46
17:14:36.425,100,364,46
17:14:36.526,100,364,46
17:14:36.626,100,364,46
17:14:36.726,100,364,46
17:14:36.827,100,364,46
17:14:36.927,100,363,46
17:14:37.027,100,363,46
17:14:37.128,100,363,46
17:14:37.228,100,363,46
17:14:37.329,100,363,46
17:14:37.429,100,363,46
17:14:37.529,100,363,46
17:14:37.630,100,363,46
17:14:37.730,100,367,46
17:14:37.830,96,367,46
