Time,GPU Util (%),Memory Used (MB),Temp (C)
18:58:04.067,3,798,34
18:58:04.348,1,798,34
18:58:04.631,0,798,34
18:58:04.912,1,799,34
18:58:05.194,0,799,34
18:58:05.475,1,793,34
18:58:05.758,1,790,34
18:58:06.039,85,796,34
18:58:06.320,99,792,36
18:58:06.601,99,792,36
18:58:06.884,100,792,37
18:58:07.164,100,791,37
18:58:07.448,99,791,38
18:58:07.729,100,791,38
18:58:08.013,100,791,38
18:58:08.293,100,791,38
18:58:08.576,99,791,38
18:58:08.857,100,791,38
18:58:09.140,100,791,38
18:58:09.421,100,791,38
18:58:09.704,100,791,38
18:58:09.984,100,791,38
18:58:10.268,100,791,38
18:58:10.549,99,789,38
18:58:10.832,100,785,39
18:58:11.113,100,778,39
18:58:11.395,100,778,38
18:58:11.676,99,778,38
18:58:11.959,100,774,38
18:58:12.240,100,774,38
18:58:12.523,100,774,39
18:58:12.804,99,774,39
18:58:13.087,90,774,39
18:58:13.367,87,774,39
18:58:13.651,81,774,39
18:58:13.931,63,787,39
18:58:14.214,81,787,39
18:58:14.495,99,787,39
18:58:14.778,90,787,39
18:58:15.059,100,787,39
18:58:15.340,100,787,40
18:58:15.621,100,787,40
18:58:15.903,100,787,39
18:58:16.184,100,787,39
18:58:16.467,100,787,40
18:58:16.748,100,787,40
18:58:17.031,99,781,39
18:58:17.311,100,781,39
18:58:17.594,100,779,40
18:58:17.875,100,779,40
18:58:18.158,100,779,40
18:58:18.438,100,779,40
18:58:18.722,99,779,40
18:58:19.003,99,778,40
18:58:19.286,100,778,40
18:58:19.566,98,778,40
18:58:19.850,90,778,40
18:58:20.131,97,778,40
18:58:20.412,93,778,40
18:58:20.693,98,778,40
18:58:20.976,85,778,40
18:58:21.256,96,778,40
18:58:21.539,84,778,40
18:58:21.820,82,786,40
18:58:22.103,82,786,40
18:58:22.384,95,786,40
18:58:22.666,98,786,41
18:58:22.947,99,786,41
18:58:23.230,92,786,41
18:58:23.511,100,786,41
18:58:23.794,100,786,41
18:58:24.074,99,786,41
18:58:24.359,100,786,41
18:58:24.640,100,786,41
18:58:24.923,100,786,41
18:58:25.204,100,786,41
18:58:25.486,99,786,41
18:58:25.767,99,786,41
18:58:26.050,82,786,41
18:58:26.330,99,786,41
18:58:26.613,99,786,41
18:58:26.894,100,786,41
18:58:27.177,100,784,41
18:58:27.457,97,784,41
18:58:27.741,99,784,41
18:58:28.022,94,784,41
18:58:28.305,97,784,41
18:58:28.586,94,784,41
18:58:28.869,87,784,41
18:58:29.150,92,784,41
18:58:29.431,80,784,41
18:58:29.711,86,784,41
18:58:29.995,73,793,41
18:58:30.275,91,793,41
18:58:30.558,94,793,41
18:58:30.839,97,793,41
18:58:31.121,100,793,41
18:58:31.402,100,793,41
18:58:31.685,92,793,42
18:58:31.966,100,793,42
18:58:32.248,100,793,42
18:58:32.529,100,793,42
18:58:32.812,100,793,42
18:58:33.093,100,793,42
18:58:33.376,100,793,42
18:58:33.656,93,793,42
18:58:33.939,99,793,41
18:58:34.220,100,793,41
18:58:34.501,100,793,42
18:58:34.781,99,793,42
18:58:35.064,100,792,42
