Time,GPU Util (%),Memory Used (MB),Temp (C)
19:01:04.568,0,437,38
19:01:11.308,1,437,38
19:01:18.049,5,435,37
19:01:24.790,38,468,41
19:01:31.530,25,467,42
19:01:38.270,91,457,42
19:01:45.011,0,457,43
19:01:51.751,100,457,44
19:01:58.492,0,457,44
19:02:05.232,98,457,45
19:02:11.973,36,457,45
19:02:18.713,0,457,45
19:02:25.454,100,457,47
19:02:32.194,35,457,46
19:02:38.935,70,457,47
19:02:45.675,100,457,48
19:02:52.415,23,457,48
19:02:59.156,100,457,48
19:03:05.896,0,457,47
19:03:12.637,100,457,48
19:03:19.377,36,457,48
19:03:26.118,96,457,49
19:03:32.858,0,457,48
19:03:39.599,0,457,49
19:03:46.339,53,457,49
19:03:53.080,1,457,49
19:03:59.820,84,457,49
19:04:06.560,0,457,49
19:04:13.301,23,457,50
19:04:20.041,0,457,49
19:04:26.782,1,457,50
19:04:33.522,100,457,50
19:04:40.263,0,457,49
19:04:47.003,79,490,50
19:04:53.744,13,484,50
19:05:00.484,32,484,50
19:05:07.225,100,484,51
19:05:13.965,0,480,50
19:05:20.706,100,480,52
19:05:27.446,8,476,51
19:05:34.186,5,476,51
19:05:40.927,100,476,51
19:05:47.667,0,472,51
19:05:54.408,100,472,53
19:06:01.148,0,472,51
19:06:07.889,79,472,52
19:06:14.629,0,472,51
19:06:21.370,32,472,52
19:06:28.110,42,472,51
19:06:34.851,0,468,51
19:06:41.591,99,464,52
19:06:48.332,1,464,51
19:06:55.072,100,464,52
19:07:01.813,0,464,51
19:07:08.553,0,464,52
19:07:15.294,43,464,52
19:07:22.034,1,469,51
19:07:28.775,78,465,52
19:07:35.515,0,465,51
19:07:42.256,31,465,52
19:07:48.996,0,465,51
19:07:55.736,1,465,52
19:08:02.477,68,465,51
19:08:09.218,0,465,51
19:08:15.958,87,493,52
19:08:22.698,73,493,52
19:08:29.439,41,493,52
19:08:36.179,100,493,52
19:08:42.920,0,493,52
19:08:49.661,100,493,53
19:08:56.401,0,493,52
19:09:03.142,13,493,53
19:09:09.882,22,493,52
19:09:16.623,0,493,52
19:09:23.363,100,493,53
19:09:30.104,0,493,52
19:09:36.844,86,493,53
19:09:43.584,0,493,52
19:09:50.325,39,493,53
19:09:57.065,52,493,52
19:10:03.806,0,493,52
19:10:10.547,100,493,53
19:10:17.287,0,493,52
19:10:24.027,100,493,53
19:10:30.768,11,493,52
19:10:37.508,0,493,53
19:10:44.249,40,493,52
19:10:50.990,0,493,52
19:10:57.730,84,493,53
19:11:04.471,0,493,52
19:11:11.211,36,493,53
19:11:17.952,36,493,52
19:11:24.692,1,493,52
19:11:31.433,86,493,52
19:11:38.173,0,523,52
19:11:44.913,81,461,53
19:11:51.654,15,461,52
19:11:58.394,34,461,53
19:12:05.135,91,461,52
19:12:11.875,0,461,52
19:12:18.616,100,461,54
19:12:25.356,17,461,53
19:12:32.097,7,461,53
19:12:38.837,37,461,52
19:12:45.578,0,461,53
19:12:52.318,100,461,54
19:12:59.059,0,461,52
19:13:05.799,79,461,53
19:13:12.539,20,461,53
19:13:19.280,32,461,53
19:13:26.020,100,461,53
19:13:32.761,0,461,52
19:13:39.501,100,461,53
19:13:46.242,1,461,52
19:13:52.982,100,461,54
19:13:59.723,0,462,52
19:14:06.463,0,461,53
19:14:13.204,31,461,53
19:14:19.944,1,461,52
19:14:26.685,78,461,53
19:14:33.425,0,461,52
19:14:40.166,32,461,53
19:14:46.906,54,461,52
19:14:53.647,0,461,52
19:15:00.388,100,461,53
19:15:07.128,0,489,52
19:15:13.869,87,489,53
19:15:20.609,41,489,52
19:15:27.350,40,489,53
19:15:34.090,66,489,53
19:15:40.830,0,489,52
19:15:47.571,100,489,53
19:15:54.311,0,489,53
19:16:01.052,13,489,54
19:16:07.792,39,489,53
19:16:14.533,0,489,53
19:16:21.273,100,489,53
19:16:28.014,37,489,53
19:16:34.754,85,488,54
19:16:41.495,100,476,53
19:16:48.235,38,476,54
19:16:54.976,100,476,53
19:17:01.716,0,476,53
19:17:08.457,100,476,54
19:17:15.197,21,476,53
19:17:21.937,100,476,53
19:17:28.678,0,476,53
19:17:35.418,1,476,53
19:17:42.159,25,476,53
19:17:48.899,0,476,53
19:17:55.640,83,476,53
19:18:02.380,0,476,52
19:18:09.121,37,476,53
19:18:15.862,61,476,53
19:18:22.602,0,476,52
19:18:29.343,100,506,53
19:18:36.083,0,506,53
19:18:42.824,92,506,54
19:18:49.564,38,502,53
19:18:56.305,46,502,53
19:19:03.045,100,498,53
19:19:09.786,0,498,53
19:19:16.526,100,498,54
19:19:23.267,1,494,53
19:19:30.007,19,494,53
19:19:36.747,100,494,53
19:19:43.488,0,490,53
19:19:50.228,100,490,53
19:19:56.969,0,486,53
19:20:03.709,91,486,53
19:20:10.450,57,486,53
19:20:17.190,44,482,53
19:20:23.931,67,482,53
19:20:30.671,0,482,53
19:20:37.412,100,478,53
19:20:44.152,0,478,53
19:20:50.893,100,474,54
19:20:57.633,0,474,53
19:21:04.374,0,474,53
19:21:11.114,15,470,53
19:21:17.855,0,470,53
19:21:24.595,89,466,54
19:21:31.336,0,466,53
19:21:38.076,41,466,53
19:21:44.816,5,462,53
19:21:51.557,0,462,53
19:21:58.297,100,490,54
19:22:05.038,0,490,53
19:22:11.778,98,490,53
19:22:18.519,86,490,53
19:22:25.259,0,490,54
19:22:31.999,100,490,54
19:22:38.740,0,490,53
19:22:45.480,100,490,53
19:22:52.221,53,490,53
19:22:58.961,24,490,54
19:23:05.702,15,490,53
19:23:12.442,0,490,53
19:23:19.183,100,490,54
19:23:25.923,0,490,53
19:23:32.664,97,490,55
19:23:39.404,50,490,53
19:23:46.145,50,490,53
19:23:52.885,76,490,53
19:23:59.626,1,490,53
19:24:06.366,100,490,54
19:24:13.106,0,490,53
19:24:19.847,23,490,53
19:24:26.587,0,490,53
19:24:33.328,0,490,54
19:24:40.068,23,490,53
19:24:46.809,0,490,53
19:24:53.549,95,490,54
19:25:00.290,0,490,53
19:25:07.030,48,490,55
19:25:13.771,13,490,53
19:25:20.511,0,520,53
19:25:27.252,100,516,53
19:25:33.992,0,516,53
19:25:40.733,100,516,54
19:25:47.473,0,512,53
19:25:54.213,0,512,53
19:26:00.954,71,508,53
19:26:07.694,0,508,53
19:26:14.435,100,508,55
19:26:21.175,100,504,54
19:26:27.916,28,504,53
19:26:34.656,43,500,54
19:26:41.396,0,464,54
19:26:48.137,100,464,55
19:26:54.877,0,470,53
19:27:01.618,100,467,55
19:27:08.358,18,470,53
19:27:15.099,55,467,54
19:27:21.839,32,467,54
19:27:28.580,1,467,53
19:27:35.320,94,467,54
19:27:42.061,0,467,53
19:27:48.801,28,467,54
19:27:55.542,0,467,53
19:28:02.282,1,467,53
19:28:09.023,100,467,53
19:28:15.763,0,467,53
19:28:22.504,100,467,53
19:28:29.244,0,467,53
19:28:35.985,55,467,54
19:28:42.725,19,467,53
19:28:49.466,0,496,53
19:28:56.206,100,495,54
19:29:02.947,0,495,53
19:29:09.687,100,495,55
19:29:16.428,15,495,53
19:29:23.168,0,495,54
19:29:29.909,64,495,53
19:29:36.650,0,495,53
19:29:43.390,91,495,54
19:29:50.130,0,494,53
19:29:56.871,44,494,54
19:30:03.611,34,494,53
19:30:10.352,0,494,53
19:30:17.092,70,494,53
19:30:23.833,0,494,53
19:30:30.573,100,494,54
19:30:37.314,30,494,53
19:30:44.054,71,494,54
19:30:50.795,50,494,53
19:30:57.535,0,494,53
19:31:04.276,94,494,54
19:31:11.016,0,494,53
19:31:17.756,43,494,54
19:31:24.497,0,494,53
19:31:31.237,1,494,54
19:31:37.978,91,494,53
19:31:44.719,0,472,53
19:31:51.459,100,472,53
19:31:58.200,0,472,53
19:32:04.940,70,472,54
19:32:11.681,50,501,53
19:32:18.421,0,500,53
19:32:25.161,94,500,53
19:32:31.902,0,496,53
19:32:38.642,100,496,54
19:32:45.383,40,496,53
19:32:52.123,0,492,53
19:32:58.864,46,492,53
19:33:05.604,0,488,53
19:33:12.345,90,488,54
19:33:19.085,0,488,53
19:33:25.826,44,484,54
19:33:32.566,100,484,54
19:33:39.307,0,480,54
19:33:46.047,100,480,54
19:33:52.788,0,476,53
19:33:59.528,100,476,54
19:34:06.269,18,472,53
19:34:13.009,69,472,54
19:34:19.749,28,472,53
19:34:26.490,0,468,53
19:34:33.230,85,468,54
19:34:39.971,1,468,53
19:34:46.711,42,464,54
19:34:53.452,0,464,53
19:35:00.192,0,460,54
19:35:06.933,94,460,53
19:35:13.673,1,460,53
19:35:20.414,100,460,53
19:35:27.154,0,460,53
19:35:33.895,68,460,54
19:35:40.635,0,460,51
19:35:47.376,0,463,49
