Time,GPU Util (%),Memory Used (MB),Temp (C)
17:01:52.886,3,963,34
17:01:53.887,2,963,34
17:01:54.894,7,993,35
17:01:55.899,69,979,39
17:01:56.915,100,976,39
17:01:57.927,100,974,40
17:01:58.930,100,971,40
17:01:59.939,100,970,40
17:02:00.939,100,969,40
17:02:01.949,100,969,40
17:02:02.959,100,968,40
17:02:03.974,100,968,40
17:02:04.997,100,965,40
17:02:05.998,100,965,41
17:02:07.008,100,965,40
17:02:08.018,100,965,41
17:02:09.019,100,970,41
17:02:10.034,100,970,41
17:02:11.043,100,970,41
17:02:12.043,100,1027,41
17:02:13.051,100,1027,42
17:02:14.056,100,1027,42
17:02:15.057,100,1026,42
17:02:16.059,100,1026,42
17:02:17.070,100,1026,42
17:02:18.076,100,1026,42
17:02:19.088,100,1026,42
17:02:20.089,100,1026,43
17:02:21.105,100,1026,43
17:02:22.106,100,1028,42
17:02:23.116,100,1029,43
17:02:24.119,100,1029,43
17:02:25.120,100,1029,43
17:02:26.122,100,1029,43
17:02:27.126,100,1029,43
17:02:28.129,100,1029,44
17:02:29.130,100,1029,43
17:02:30.131,100,1029,43
17:02:31.142,100,1029,44
17:02:32.149,100,1029,44
17:02:33.154,100,1029,44
17:02:34.154,100,1029,44
17:02:35.159,100,1029,44
17:02:36.166,100,1029,44
17:02:37.173,100,1029,44
17:02:38.185,100,1029,45
17:02:39.196,100,1029,45
17:02:40.212,100,1029,44
17:02:41.216,100,1029,45
17:02:42.219,100,1029,44
17:02:43.239,100,1086,45
17:02:44.240,100,1070,45
17:02:45.241,100,1070,45
17:02:46.242,100,1053,45
17:02:47.252,100,1037,45
17:02:48.262,100,1033,45
17:02:49.267,100,1033,45
17:02:50.279,100,1029,46
17:02:51.280,100,1029,46
17:02:52.292,100,1029,46
17:02:53.296,100,1029,46
17:02:54.297,100,1029,46
17:02:55.300,100,1029,46
17:02:56.303,100,1025,46
17:02:57.310,100,1025,46
17:02:58.314,100,1025,46
17:02:59.315,100,1025,46
17:03:00.329,100,1025,47
17:03:01.331,100,1025,46
17:03:02.338,100,1025,46
17:03:03.339,100,1025,47
17:03:04.341,100,1025,47
17:03:05.353,100,1025,47
17:03:06.354,100,1025,47
17:03:07.357,100,1025,47
17:03:08.373,100,1025,47
17:03:09.383,100,1084,47
17:03:10.398,100,1068,47
17:03:11.409,100,1052,47
17:03:12.414,100,1032,47
17:03:13.416,100,1032,47
17:03:14.420,100,1032,47
17:03:15.423,100,1031,47
17:03:16.424,100,1031,48
17:03:17.425,100,1031,47
17:03:18.426,100,1031,47
17:03:19.428,100,1031,47
17:03:20.429,100,1031,48
17:03:21.431,100,1031,48
17:03:22.442,100,1031,48
17:03:23.444,100,1031,48
17:03:24.445,100,1031,48
17:03:25.447,100,1031,48
17:03:26.461,100,1031,48
17:03:27.474,100,1027,48
17:03:28.484,100,1027,48
17:03:29.491,100,1027,49
17:03:30.492,100,1027,48
17:03:31.494,100,1027,47
17:03:32.506,100,1027,48
17:03:33.517,100,1027,48
17:03:34.519,100,1027,49
17:03:35.531,100,1027,49
17:03:36.532,100,1027,49
17:03:37.533,100,1027,48
17:03:38.534,100,1027,49
17:03:39.536,100,1027,49
17:03:40.537,100,1027,49
17:03:41.549,100,1027,49
17:03:42.556,100,1084,49
17:03:43.557,100,1084,49
17:03:44.559,100,1084,49
17:03:45.570,100,1084,49
17:03:46.572,100,1084,49
17:03:47.574,100,1084,49
17:03:48.575,100,1084,49
17:03:49.576,100,1084,49
17:03:50.578,100,1084,49
17:03:51.580,100,1084,48
17:03:52.581,100,1084,49
17:03:53.583,100,1084,49
17:03:54.585,100,1084,50
17:03:55.587,100,1084,49
17:03:56.598,100,1084,50
17:03:57.599,100,1084,49
17:03:58.611,100,1084,49
17:03:59.616,100,1087,50
17:04:00.625,100,1087,50
17:04:01.629,100,1087,50
17:04:02.630,100,1087,50
17:04:03.632,100,1087,49
17:04:04.633,100,1087,49
17:04:05.635,100,1087,49
17:04:06.636,100,1087,49
17:04:07.639,100,1087,50
17:04:08.650,100,1087,49
17:04:09.662,100,1087,50
17:04:10.664,100,1087,49
17:04:11.665,100,1087,50
17:04:12.667,100,1087,50
17:04:13.668,100,1087,50
17:04:14.669,100,1087,50
17:04:15.681,100,1087,50
17:04:16.683,100,1087,50
17:04:17.692,100,1088,50
17:04:18.703,100,1088,50
17:04:19.705,100,1088,50
17:04:20.722,100,1088,50
17:04:21.734,100,1088,50
17:04:22.748,100,1088,50
17:04:23.753,100,1089,50
17:04:24.754,100,1089,50
17:04:25.756,100,1089,50
17:04:26.757,100,1089,51
17:04:27.758,100,1089,50
17:04:28.762,100,1089,50
17:04:29.770,100,1089,51
17:04:30.785,100,1089,50
17:04:31.786,100,1089,50
17:04:32.787,100,1089,50
17:04:33.799,100,1089,51
17:04:34.810,100,1089,51
17:04:35.818,100,1090,51
17:04:36.820,100,1090,50
17:04:37.822,100,1090,51
17:04:38.833,100,1090,50
17:04:39.834,100,1090,50
17:04:40.836,100,1090,50
17:04:41.842,100,1091,50
17:04:42.846,100,1091,51
17:04:43.855,100,1099,50
17:04:44.858,100,1099,51
17:04:45.873,100,1099,50
17:04:46.884,100,1099,50
17:04:47.896,100,1099,51
17:04:48.897,100,1099,51
17:04:49.908,100,1099,51
17:04:50.911,100,1099,51
17:04:51.923,100,1099,51
17:04:52.924,100,1099,51
17:04:53.925,40,1099,48
17:04:54.927,0,1099,48
17:04:55.928,0,1099,46
17:04:56.930,0,1099,45
17:04:57.931,0,1099,45
17:04:58.943,0,1099,44
