Time,GPU Util (%),Memory Used (MB),Temp (C)
16:54:34.881,0,408,43
16:54:35.881,10,436,43
16:54:36.882,87,444,44
16:54:37.882,95,444,46
16:54:38.882,92,444,45
16:54:39.883,100,444,45
16:54:40.883,100,444,45
16:54:41.883,93,444,46
16:54:42.884,100,444,46
16:54:43.884,95,442,46
16:54:44.885,100,402,46
16:54:45.885,90,402,46
16:54:46.885,100,402,46
16:54:47.886,90,402,46
16:54:48.886,100,402,46
16:54:49.886,91,402,47
16:54:50.887,100,402,47
16:54:51.887,100,402,47
16:54:52.887,94,402,47
16:54:53.888,93,402,47
16:54:54.888,100,402,47
16:54:55.889,100,402,46
16:54:56.889,100,402,47
16:54:57.889,96,402,46
16:54:58.890,100,402,47
16:54:59.890,100,402,48
16:55:00.890,100,402,47
16:55:01.891,100,402,47
16:55:02.891,93,402,47
16:55:03.892,100,402,47
16:55:04.892,91,402,48
16:55:05.892,100,402,47
16:55:06.893,90,402,47
16:55:07.893,91,402,47
16:55:08.893,100,402,48
16:55:09.894,100,402,47
16:55:10.894,100,402,48
16:55:11.894,99,402,48
16:55:12.895,93,402,48
16:55:13.895,90,402,48
16:55:14.895,100,402,48
16:55:15.896,100,402,48
16:55:16.896,100,402,48
16:55:17.897,100,402,49
16:55:18.897,100,402,49
16:55:19.897,100,402,48
16:55:20.898,100,402,47
16:55:21.898,100,402,48
16:55:22.898,89,402,48
16:55:23.899,100,402,48
16:55:24.899,100,402,48
16:55:25.899,93,402,48
16:55:26.900,96,402,49
16:55:27.900,92,402,48
16:55:28.900,100,402,49
16:55:29.901,96,402,49
16:55:30.901,100,402,49
16:55:31.902,100,402,49
16:55:32.902,100,402,49
16:55:33.902,100,402,49
16:55:34.903,100,402,49
16:55:35.903,91,402,48
16:55:36.903,95,402,49
16:55:37.904,90,402,49
16:55:38.904,100,402,49
16:55:39.904,94,402,48
16:55:40.905,100,402,50
16:55:41.905,100,402,50
16:55:42.906,100,402,49
16:55:43.906,100,401,49
16:55:44.906,91,401,49
16:55:45.907,100,401,50
16:55:46.907,100,401,49
16:55:47.907,92,401,50
16:55:48.908,100,401,49
16:55:49.908,100,401,50
16:55:50.908,96,401,50
16:55:51.909,99,401,50
16:55:52.909,93,401,50
16:55:53.910,66,401,49
16:55:54.910,72,401,49
16:55:55.911,79,401,49
16:55:56.911,85,401,48
16:55:57.912,92,401,48
16:55:58.912,98,401,48
16:55:59.913,100,401,48
16:56:00.913,91,434,48
16:56:01.914,100,434,49
16:56:02.914,95,434,50
16:56:03.915,98,434,49
16:56:04.915,100,434,50
16:56:05.915,95,434,49
16:56:06.916,90,434,50
16:56:07.916,98,434,50
16:56:08.917,94,432,50
16:56:09.917,98,432,50
16:56:10.917,100,432,50
16:56:11.918,92,432,50
16:56:12.918,100,432,49
16:56:13.918,97,432,50
16:56:14.919,100,432,49
16:56:15.919,90,432,50
16:56:16.920,100,432,50
16:56:17.920,91,432,50
16:56:18.920,100,432,50
16:56:19.921,100,432,50
16:56:20.921,98,432,50
16:56:21.922,100,432,50
16:56:22.922,96,432,49
16:56:23.922,100,432,50
16:56:24.923,100,432,51
16:56:25.923,100,432,49
16:56:26.923,100,432,50
16:56:27.924,91,432,50
16:56:28.924,100,432,50
16:56:29.924,100,432,50
16:56:30.925,96,432,51
16:56:31.925,100,432,50
16:56:32.925,100,432,50
16:56:33.926,100,432,50
16:56:34.926,100,432,50
16:56:35.926,100,432,50
16:56:36.927,100,432,50
16:56:37.927,89,432,50
16:56:38.928,100,432,50
16:56:39.928,100,432,50
16:56:40.928,93,432,49
16:56:41.929,100,432,50
16:56:42.929,100,432,50
16:56:43.929,97,432,50
16:56:44.930,100,432,51
16:56:45.930,100,432,50
16:56:46.930,100,432,50
16:56:47.931,100,432,50
16:56:48.931,100,432,51
16:56:49.931,100,432,51
16:56:50.932,100,432,51
16:56:51.932,100,432,50
16:56:52.933,100,432,50
16:56:53.933,100,432,51
16:56:54.933,92,432,51
16:56:55.934,100,432,52
16:56:56.934,100,432,52
16:56:57.934,100,432,51
16:56:58.935,100,432,50
16:56:59.935,100,432,51
16:57:00.935,100,432,52
16:57:01.936,100,432,52
16:57:02.936,100,432,50
16:57:03.936,100,432,50
16:57:04.937,99,432,51
16:57:05.937,100,432,52
16:57:06.938,100,432,51
16:57:07.938,100,432,50
16:57:08.938,94,432,51
16:57:09.939,100,432,51
16:57:10.939,100,432,52
16:57:11.939,98,432,51
16:57:12.940,100,432,52
16:57:13.940,100,432,51
16:57:14.940,95,432,51
16:57:15.941,96,432,51
16:57:16.941,95,432,51
16:57:17.942,100,432,50
16:57:18.942,100,432,50
16:57:19.942,100,432,51
16:57:20.943,97,432,50
16:57:21.943,53,432,50
16:57:22.943,63,432,50
16:57:23.944,87,432,50
16:57:24.944,88,432,51
16:57:25.945,100,464,50
16:57:26.945,100,464,51
16:57:27.945,100,464,51
16:57:28.946,99,464,51
16:57:29.946,100,464,51
16:57:30.946,95,462,50
16:57:31.947,100,462,51
16:57:32.947,100,457,51
16:57:33.948,100,457,51
16:57:34.948,100,457,51
16:57:35.948,96,457,51
16:57:36.949,100,457,51
16:57:37.949,92,457,51
16:57:38.950,100,457,51
16:57:39.950,89,457,51
16:57:40.950,100,453,51
16:57:41.951,93,453,51
16:57:42.951,100,453,51
16:57:43.952,100,453,51
16:57:44.952,96,453,51
16:57:45.952,97,453,51
16:57:46.953,100,453,51
16:57:47.953,96,453,51
16:57:48.953,97,449,51
16:57:49.954,100,449,52
16:57:50.954,100,449,50
16:57:51.954,100,449,51
16:57:52.955,96,449,51
16:57:53.955,100,449,50
16:57:54.956,90,449,51
16:57:55.956,97,449,52
16:57:56.956,96,449,51
16:57:57.957,100,449,52
16:57:58.957,100,445,51
16:57:59.957,100,445,51
16:58:00.958,100,445,51
16:58:01.958,100,445,51
16:58:02.958,93,445,52
16:58:03.959,100,445,51
16:58:04.959,100,445,50
16:58:05.960,89,445,51
16:58:06.960,100,442,51
16:58:07.960,100,442,51
16:58:08.961,100,442,51
16:58:09.961,95,442,52
16:58:10.961,100,442,51
16:58:11.962,91,442,51
16:58:12.962,99,442,51
