Time,GPU Util (%),Memory Used (MB),Temp (C)
17:59:08.218,0,1013,39
17:59:09.221,2,1011,39
17:59:10.235,6,1075,50
17:59:11.244,100,1138,41
17:59:12.250,0,1137,52
17:59:13.252,100,1138,54
17:59:14.252,100,1143,46
17:59:15.252,100,1142,55
17:59:16.267,100,1142,56
17:59:17.269,100,1201,57
17:59:18.273,100,1258,57
17:59:19.277,100,1258,50
17:59:20.284,100,1252,57
17:59:21.287,100,1252,56
17:59:22.292,100,1252,59
17:59:23.303,100,1252,56
17:59:24.310,100,1251,57
17:59:25.314,100,1251,50
17:59:26.320,100,1251,57
17:59:27.334,100,1251,59
17:59:28.334,100,1251,58
17:59:29.341,99,1251,59
17:59:30.347,100,1251,57
17:59:31.349,100,1200,58
17:59:32.356,100,1200,49
17:59:33.357,100,1200,59
17:59:34.357,100,1200,50
17:59:35.370,0,1200,48
